quartier,prix_m2_moyen,prix_m2_median,prix_m2_min,prix_m2_max,nb_annonces,prix_moyen,surface_moyenne
Nord Foire,46753846.0,46753846.0,46753846.0,46753846.0,1,2431200000.0,52.0
Parcelles Assainies,6255188.0,508334.0,4083.0,24000000.0,4,83872500.0,144.0
Mbao,3842051.0,207260.0,1.0,91666667.0,26,99673500.0,208.0
Fann,1746288.0,9328.0,574.0,39166667.0,36,487110563.0,571.0
Pikine,1200000.0,1200000.0,1200000.0,1200000.0,1,180000000.0,150.0
Liberté 4,983146.0,983146.0,983146.0,983146.0,1,175000000.0,178.0
Mermoz,900956.0,467716.0,0.0,8277286.0,50,204682454.0,248.0
Corniche,885144.0,13666.0,1413.0,2720000.0,8,280165625.0,252.0
Liberté 1,878779.0,812308.0,747126.0,1033898.0,5,150600000.0,177.0
Rufisque,840398.0,81428.0,0.0,9733333.0,26,215900193.0,768.0
Kaolack,814444.0,814444.0,62285.0,1566602.0,2,265358250.0,468.0
Liberté,810888.0,439873.0,281.0,2750000.0,5,110805000.0,299.0
Foire,746802.0,650000.0,558252.0,1200000.0,5,149430000.0,196.0
Liberté 2,733333.0,733333.0,733333.0,733333.0,1,220000000.0,300.0
Point E,680365.0,13000.0,0.0,10334077.0,70,129084811.0,242.0
Ngor,642132.0,693333.0,25.0,2500000.0,31,807978548.0,857.0
Sacre Coeur,641918.0,880000.0,300.0,1045455.0,3,150010000.0,190.0
Touba,640080.0,93931.0,1667.0,2750000.0,9,114111111.0,373.0
Almadies,635533.0,163333.0,0.0,8750000.0,204,226593411.0,410.0
Liberté 6,633899.0,791855.0,33.0,1400000.0,17,136243824.0,215.0
Amitié,631844.0,716666.0,4934.0,1089109.0,4,302218750.0,350.0
Maristes,606276.0,632716.0,3.0,1558029.0,20,216588800.0,303.0
Liberté 3,590909.0,590909.0,590909.0,590909.0,1,65000000.0,110.0
Liberté 5,588731.0,611111.0,4444.0,929487.0,5,110160000.0,175.0
Mamelles,571432.0,489510.0,1833.0,2666667.0,41,182459317.0,330.0
Médina,552936.0,653061.0,0.0,1005747.0,3,159333334.0,231.0
Sacré-Coeur,547836.0,547836.0,4762.0,1090909.0,2,30500000.0,132.0
Yoff,520415.0,555128.0,3333.0,2647059.0,30,126589667.0,244.0
Dakar,499038.0,94386.0,500.0,2000000.0,26,161220154.0,634.0
Hlm,486026.0,490000.0,111111.0,1018519.0,10,150700000.0,297.0
Ouakam,451522.0,17500.0,750.0,4500000.0,21,64999210.0,192.0
Saly,414081.0,214724.0,110.0,5357143.0,77,167197221.0,684.0
Popenguine,408347.0,324286.0,16667.0,1333333.0,6,124291667.0,780.0
Cambérène,393334.0,393334.0,0.0,786667.0,2,59000000.0,466.0
Diamniadio,366810.0,19834.0,2.0,4661017.0,24,46816083.0,2064.0
Guédiawaye,363333.0,380000.0,210000.0,500000.0,3,54500000.0,150.0
Cité Keur Gorgui,319032.0,4540.0,448.0,1100000.0,6,97257167.0,188.0
Vdn,300622.0,96666.0,16.0,1500000.0,44,61787928.0,355.0
Plateau,295679.0,8265.0,2.0,5000000.0,54,149633474.0,412.0
Sicap,284648.0,93333.0,0.0,1264045.0,19,50108158.0,157.0
Baobabs,259787.0,120358.0,3.0,659000.0,3,226516667.0,7136.0
Somone,246158.0,241667.0,9.0,1050000.0,35,133050000.0,1073.0
Yeumbeul,240175.0,240175.0,240175.0,240175.0,1,55000000.0,229.0
Keur Massar,189380.0,166667.0,125000.0,281250.0,7,36857143.0,214.0
Mbour,94270.0,22222.0,917.0,1074932.0,15,61283333.0,823.0
Thiès,80701.0,8889.0,667.0,408333.0,21,32230714.0,330.0
Ziguinchor,52901.0,52901.0,52901.0,52901.0,1,15500000.0,293.0
Lac Rose,33049.0,30000.0,4.0,93750.0,11,11464547.0,211.0
Keur Gorgui,3000.0,3000.0,3000.0,3000.0,1,450000.0,150.0
Thiaroye,1522.0,1522.0,45.0,3000.0,2,1657500.0,4000.0
Saint-Louis,429.0,429.0,429.0,429.0,1,30000.0,70.0
