ville,mean,median,count,min,max
Kaolack,176910500.0,38803500.0,3,15000.0,491913000.0
Rufisque,170015162.0,4000000.0,62,7.0,3750000000.0
Mbour,113882222.0,47000000.0,203,15000.0,950000000.0
Dakar,75669767.0,950000.0,2781,1.0,15000000000.0
Touba,68217789.0,20000000.0,19,20000.0,550000000.0
Pikine,47089542.0,500000.0,77,12.0,1100000000.0
Diamniadio,46468957.0,4000000.0,47,1000.0,550000000.0
Thiès,36740468.0,900000.0,47,1.0,600000000.0
Guédiawaye,23464286.0,280000.0,7,20000.0,75000000.0
Ziguinchor,15500000.0,15500000.0,1,15500000.0,15500000.0
Saint-Louis,217500.0,120000.0,4,30000.0,600000.0
Tambacounda,27500.0,27500.0,2,25000.0,30000.0
