protocol,address,date,type,subject,body,toa,sc_toa,service_center,read,status,locked,date_sent,sub_id,readable_date,contact_name
0,AirtelMoney,1760784297665,1,,Vous avez recu une commission de 1.00 FCFA. Trans.ID: MO251018.0945.A93182,,,00000000000,1,-1,0,1760777130000,2,18 oct. 2025 11:44:57,(Unknown)
0,AirtelMoney,1760784297880,1,,"TID: PP251018.1038.A48398. Vous avez recu 40000.00 FCFA de  Djibrine Saboun,68111066. Votre solde est 137779.80 FCFA",,,00000000000,1,-1,0,1760780310000,2,18 oct. 2025 11:44:57,(Unknown)
0,AirtelMoney,1760784298113,1,,Vous avez recu une commission de 1.00 FCFA. Trans.ID: MO251018.1114.A00671,,,00000000000,1,-1,0,1760782496000,2,18 oct. 2025 11:44:58,(Unknown)
0,AirtelMoney,1760784624812,1,,ID Trans: ES251018.1150.B74246. Le solde de votre compte Airtel Money est 137780.80 FCFA. Le solde  de votre compte de commission est 9720.15 FCFA.,,,00000000000,1,-1,0,1760784616000,2,18 oct. 2025 11:50:24,(Unknown)
0,AirtelMoney,1760785034422,1,,TID: CO251018.1157.B10806. RECU 2500.00 FCFA du 63****89. Le solde de votre compte Airtel Money est 140280.80 FCFA.,,,00000000000,1,-1,0,1760785031000,2,18 oct. 2025 11:57:14,(Unknown)
0,AirtelMoney,1760785034556,1,,Vous avez recu une commission de 20.00 FCFA. Trans.ID: CO251018.1157.B10806,,,00000000000,1,-1,0,1760785031000,2,18 oct. 2025 11:57:14,(Unknown)
0,AirtelMoney,1760785185858,1,,Vous avez recu une commission de 2.42 FCFA. Trans.ID: CI251018.1159.A36790,,,00000000000,1,-1,0,1760785186000,2,18 oct. 2025 11:59:45,(Unknown)
0,AirtelMoney,1760785721919,1,,"TID: PP251018.1208.A51151. Vous avez recu 52500.00 FCFA de  Djibrine Saboun,63964213. Votre solde est 192780.80 FCFA",,,00000000000,1,-1,0,1760785721000,2,18 oct. 2025 12:08:41,(Unknown)
0,AirtelMoney,1760786359299,1,,"TIDPP251018.1219.B44207.Vous avez envoye 4750.00FCFA a Dana Haroun, 63955795 REF1.Solde est 188030.80 FCFA.",,,00000000000,1,-1,0,1760786350000,2,18 oct. 2025 12:19:19,(Unknown)
0,AirtelMoney,1760787885446,1,,Vous avez recu une commission de 2.50 FCFA. Trans.ID: PP251018.1244.B44815,,,00000000000,1,-1,0,1760787885000,2,18 oct. 2025 12:44:45,(Unknown)
0,AirtelMoney,1760787906777,1,,Vous avez recu une commission de 3.50 FCFA. Trans.ID: CI251018.1245.B34393,,,00000000000,1,-1,0,1760787906000,2,18 oct. 2025 12:45:06,(Unknown)
0,AirtelMoney,1760787927411,1,,"TID:CI251018.1245.A37748 Vous avez envoye 10000.00 FCFA a Souleymane Mbailassem,67****39. Le solde de votre compte est  178030.80 FCFA",,,00000000000,1,-1,0,1760787926000,2,18 oct. 2025 12:45:27,(Unknown)
0,AirtelMoney,1760787927612,1,,Vous avez recu une commission de 80.00 FCFA. Trans.ID: CI251018.1245.A37748,,,00000000000,1,-1,0,1760787926000,2,18 oct. 2025 12:45:27,(Unknown)
0,AirtelMoney,1760788663248,1,,"TID: PP251018.1257.B45136. Vous avez recu 10500.00 FCFA de  Oumar Ousmane,62145006. Votre solde est 188530.80 FCFA",,,00000000000,1,-1,0,1760788663000,2,18 oct. 2025 12:57:43,(Unknown)
0,AirtelMoney,1760788686317,1,,"TIDPP251018.1258.B45145.Vous avez envoye 10500.00FCFA a Abdelkerim Mbaiodjim, 68634920 REF1.Solde est 178030.80 FCFA.",,,00000000000,1,-1,0,1760788686000,2,18 oct. 2025 12:58:06,(Unknown)
0,AirtelMoney,1760789184313,1,,Vous avez recu une commission de 0.25 FCFA. Trans.ID: CI251018.1306.A38255,,,00000000000,1,-1,0,1760789184000,2,18 oct. 2025 13:06:24,(Unknown)
0,AirtelMoney,1760789477416,1,,Vous avez recu une commission de 2.62 FCFA. Trans.ID: CO251018.1311.A11602,,,00000000000,1,-1,0,1760789476000,2,18 oct. 2025 13:11:17,(Unknown)
0,AirtelMoney,1760792542372,1,,Vous avez recu une commission de 1.00 FCFA. Trans.ID: CI251018.1402.A39429,,,00000000000,1,-1,0,1760792537000,2,18 oct. 2025 14:02:22,(Unknown)
0,AirtelMoney,1760793020414,1,,"TID: PP251018.1410.A54441. Vous avez recu 1000.00 FCFA de  Assane Padare,61365675. Votre solde est 179030.80 FCFA",,,00000000000,1,-1,0,1760793019000,2,18 oct. 2025 14:10:20,(Unknown)
